product_name,brand,price,associated_skin_problem
Salicylic Acid Face Wash,Neutrogena,850,Acne
Benzoyl Peroxide Gel,Clean & Clear,650,Acne
Acne Control Toner,The Ordinary,1200,Acne
Tea Tree Spot Treatment,Body Shop,1500,Acne
Oil-Free Moisturizer SPF 30,Cetaphil,1800,Acne
Retinol Anti-Wrinkle Serum,Olay,2500,Wrinkles
Collagen Boosting Cream,L'Oreal,3200,Wrinkles
Vitamin C Anti-Aging Serum,TruSkin,2800,Wrinkles
Peptide Eye Cream,RoC,2200,Wrinkles
Hyaluronic Acid Plumping Serum,Neutrogena,1900,Wrinkles
Charcoal Pore Strips,Biore,750,Blackheads
Blackhead Removal Mask,Freeman,900,Blackheads
Salicylic BHA Exfoliant,Paula's Choice,3500,Blackheads
Deep Cleansing Clay Mask,Aztec,1100,Blackheads
Pore Minimizing Cleanser,Clean & Clear,700,Blackheads
Vitamin C Brightening Serum,Skinceuticals,4500,Dark Spots
Kojic Acid Cream,Fair & Lovely,550,Dark Spots
Niacinamide 10% + Zinc Serum,The Ordinary,1400,Dark Spots
Tranexamic Acid Serum,Paula's Choice,3200,Dark Spots
Dark Spot Corrector,Garnier,800,Dark Spots
Niacinamide Pore Serum,The Ordinary,1200,Pores
Pore Refining Toner,Kiehl's,2800,Pores
Mattifying Moisturizer,Clinique,2400,Pores
Pore Minimizer Primer,Smashbox,3000,Pores
AHA/BHA Exfoliating Toner,Some By Mi,1600,Pores
Gentle Daily Moisturizer,CeraVe,1500,Normal
SPF 50 Daily Sunscreen,EltaMD,4200,Normal
Hydrating Facial Mist,Mario Badescu,1800,Normal
Daily Balancing Toner,Thayers,1200,Normal
Multi-Vitamin Daily Serum,Kiehl's,3500,Normal
